representative,party,state,state_abbr,Democratic Majority,Not Voting,Present,Republican Majority,Neither,party_split_roll_calls,votes_cast_on_party_split_roll_calls,with_republican_pct,with_democratic_pct,missed_party_split_votes_pct
Jeffries,Democratic,NY,NY,377,0,1,4,0,382,381,1.0,99.0,0.0
Kennedy (NY),Democratic,NY,NY,370,0,0,12,0,382,382,3.1,96.9,0.0
Latimer,Democratic,NY,NY,360,11,1,10,0,382,370,2.7,97.3,2.9
Mannion,Democratic,NY,NY,356,0,0,26,0,382,382,6.8,93.2,0.0
Meeks,Democratic,NY,NY,363,12,1,6,0,382,369,1.6,98.4,3.1
Meng,Democratic,NY,NY,367,10,0,5,0,382,372,1.3,98.7,2.6
Morelle,Democratic,NY,NY,363,5,1,13,0,382,376,3.5,96.5,1.3
Nadler,Democratic,NY,NY,340,42,0,0,0,382,340,0.0,100.0,11.0
Ocasio-Cortez,Democratic,NY,NY,370,12,0,0,0,382,370,0.0,100.0,3.1
Riley (NY),Democratic,NY,NY,331,6,0,45,0,382,376,12.0,88.0,1.6
Ryan,Democratic,NY,NY,348,1,0,33,0,382,381,8.7,91.3,0.3
Suozzi,Democratic,NY,NY,316,7,0,59,0,382,375,15.7,84.3,1.8
Tonko,Democratic,NY,NY,377,4,0,1,0,382,378,0.3,99.7,1.0
Torres (NY),Democratic,NY,NY,360,9,0,13,0,382,373,3.5,96.5,2.4
Velázquez,Democratic,NY,NY,369,12,0,1,0,382,370,0.3,99.7,3.1
Beatty,Democratic,OH,OH,349,26,1,6,0,382,355,1.7,98.3,6.8
Brown,Democratic,OH,OH,380,0,0,2,0,382,382,0.5,99.5,0.0
Kaptur,Democratic,OH,OH,330,7,6,39,0,382,369,10.6,89.4,1.8
Landsman,Democratic,OH,OH,339,1,1,41,0,382,380,10.8,89.2,0.3
Sykes,Democratic,OH,OH,351,11,1,19,0,382,370,5.1,94.9,2.9
Bonamici,Democratic,OR,OR,380,2,0,0,0,382,380,0.0,100.0,0.5
Bynum,Democratic,OR,OR,358,1,2,21,0,382,379,5.5,94.5,0.3
Dexter,Democratic,OR,OR,381,1,0,0,0,382,381,0.0,100.0,0.3
Hoyle (OR),Democratic,OR,OR,364,6,1,11,0,382,375,2.9,97.1,1.6
Salinas,Democratic,OR,OR,373,0,0,9,0,382,382,2.4,97.6,0.0
Boyle (PA),Democratic,PA,PA,357,12,0,13,0,382,370,3.5,96.5,3.1
Dean (PA),Democratic,PA,PA,377,4,0,1,0,382,378,0.3,99.7,1.0
Deluzio,Democratic,PA,PA,375,0,0,7,0,382,382,1.8,98.2,0.0
Evans (PA),Democratic,PA,PA,350,31,0,1,0,382,351,0.3,99.7,8.1
Houlahan,Democratic,PA,PA,351,5,4,22,0,382,373,5.9,94.1,1.3
Lee (PA),Democratic,PA,PA,382,0,0,0,0,382,382,0.0,100.0,0.0
Scanlon,Democratic,PA,PA,379,3,0,0,0,382,379,0.0,100.0,0.8
Hernández,Democratic,PR,PR,35,5,0,0,0,40,35,0.0,100.0,12.5
